offset,dtype,value,confidence,reason
40939,float64,11.0,0.5,finite furniture-like float64
41156,float64,1.0,0.5,finite furniture-like float64
41196,float64,1.0,0.5,finite furniture-like float64
41236,float64,1.0,0.5,finite furniture-like float64
41276,float64,1.0,0.5,finite furniture-like float64
54764,float64,-2.000000000036338,0.5,finite furniture-like float64
54766,float64,99.00000000000001,0.5,finite furniture-like float64
54790,float64,1.0,0.5,finite furniture-like float64
54816,float64,-2.000000000036338,0.5,finite furniture-like float64
54818,float64,99.00000000000001,0.5,finite furniture-like float64
54840,float64,-2.0000000000363913,0.5,finite furniture-like float64
54842,float64,99.00000000000001,0.5,finite furniture-like float64
54864,float64,-2.000000000036397,0.5,finite furniture-like float64
54866,float64,99.00000000000001,0.5,finite furniture-like float64
54888,float64,-2.000000000036399,0.5,finite furniture-like float64
54890,float64,99.00000000000001,0.5,finite furniture-like float64
54912,float64,-2.0000000000363984,0.5,finite furniture-like float64
54914,float64,99.00000000000001,0.5,finite furniture-like float64
54936,float64,-2.000000000036395,0.5,finite furniture-like float64
54938,float64,99.00000000000001,0.5,finite furniture-like float64
54960,float64,-2.0000000000363847,0.5,finite furniture-like float64
54962,float64,99.00000000000001,0.5,finite furniture-like float64
54984,float64,-2.000000000050936,0.5,finite furniture-like float64
54986,float64,99.00000000000001,0.5,finite furniture-like float64
55008,float64,-2.000000000050947,0.5,finite furniture-like float64
55010,float64,99.00000000000001,0.5,finite furniture-like float64
55032,float64,-2.0000000000509504,0.5,finite furniture-like float64
55034,float64,99.00000000000001,0.5,finite furniture-like float64
55056,float64,-2.000000000050951,0.5,finite furniture-like float64
55058,float64,99.00000000000001,0.5,finite furniture-like float64
55080,float64,-2.0000000000509486,0.5,finite furniture-like float64
55082,float64,99.00000000000001,0.5,finite furniture-like float64
55104,float64,-2.000000000050943,0.5,finite furniture-like float64
55106,float64,99.00000000000001,0.5,finite furniture-like float64
55128,float64,-2.000000000036338,0.5,finite furniture-like float64
55130,float64,99.00000000000001,0.5,finite furniture-like float64
55160,float64,-2.000000000036338,0.5,finite furniture-like float64
55162,float64,99.00000000000001,0.5,finite furniture-like float64
55238,float64,1.0,0.5,finite furniture-like float64
55604,float64,-2.000000000036338,0.5,finite furniture-like float64
55606,float64,99.00000000000001,0.5,finite furniture-like float64
55630,float64,-1.0,0.5,finite furniture-like float64
55656,float64,-2.000000000036338,0.5,finite furniture-like float64
55658,float64,99.00000000000001,0.5,finite furniture-like float64
55680,float64,-2.0000000000509366,0.5,finite furniture-like float64
55682,float64,99.00000000000001,0.5,finite furniture-like float64
55704,float64,-2.00000000005094,0.5,finite furniture-like float64
55706,float64,99.00000000000001,0.5,finite furniture-like float64
55728,float64,-2.0000000000509366,0.5,finite furniture-like float64
55730,float64,99.00000000000001,0.5,finite furniture-like float64
55752,float64,-2.000000000036338,0.5,finite furniture-like float64
55754,float64,99.00000000000001,0.5,finite furniture-like float64
55776,float64,-2.000000000036385,0.5,finite furniture-like float64
55778,float64,99.00000000000001,0.5,finite furniture-like float64
55800,float64,-2.0000000000363887,0.5,finite furniture-like float64
55802,float64,99.00000000000001,0.5,finite furniture-like float64
55824,float64,-2.000000000036385,0.5,finite furniture-like float64
55826,float64,99.00000000000001,0.5,finite furniture-like float64
55848,float64,-2.000000000036338,0.5,finite furniture-like float64
55850,float64,99.00000000000001,0.5,finite furniture-like float64
55880,float64,-2.000000000036338,0.5,finite furniture-like float64
55882,float64,99.00000000000001,0.5,finite furniture-like float64
55958,float64,-1.0,0.5,finite furniture-like float64
56232,float64,-2.0000000000509317,0.5,finite furniture-like float64
56234,float64,99.00000000000001,0.5,finite furniture-like float64
56288,float64,-2.0000000000363882,0.5,finite furniture-like float64
56290,float64,99.00000000000001,0.5,finite furniture-like float64
56322,float64,5.999999999999997,0.5,finite furniture-like float64
